n_id,mac_address,package_number,node_lat,node_long,x,y,z,rssi,snr,tx_power,bandwith,spreading_factor,coding_rate,gateway_lat,gateway_long
Node2,70b3d5499616b59e,9,45.22813,17.37225,-0.5166,0.5171,-0.9557,-125,-14.0,6,1,10,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,10,45.22811,17.37179,0.5146,0.7552,-0.3311,-119,-8.0,6,1,10,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,13,45.22814,17.37279,-0.7919,0.4214,-0.6267,-124,-13.0,6,1,10,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,14,45.22814,17.37297,-0.5586,0.3199,-0.6453,-128,-16.0,6,1,10,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,15,45.22813,17.37439,0.5227,0.7804,-0.4387,-128,-16.0,6,1,10,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,18,45.22814,17.37476,0.4105,0.7910,-0.6064,-127,-16.0,6,1,10,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,19,45.22815,17.37494,0.5392,0.6790,-0.3354,-126,-15.0,6,1,10,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,22,45.22816,17.37696,0.4351,0.8318,-0.4630,-127,-16.0,6,1,10,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,23,45.22816,17.37712,0.3035,0.8997,-0.3770,-130,-18.0,6,1,10,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,22,45.22781,17.38088,0.3025,0.9174,-0.4935,-128,-14.0,6,0,11,"4
",45.22851,17.35531
Node1,70b3d5499aa0da7c,1,45.2285,17.35853,0.4104,0.8622,-0.3116,-79,7.0,6,1,8,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,1,45.22854,17.35843,-0.6360,0.3787,-0.7509,-79,7.0,6,1,8,"4
",45.22851,17.35531
Node2,70b3d5499616b59e,4,45.22855,17.35838,-0.6426,0.5951,-0.5756,-62,6.0,6,1,8,"4
",45.22851,17.35531
