n_id,mac_address,package_number,node_lat,node_long,x,y,z,rssi,snr,tx_power,bandwith,spreading_factor,coding_rate,gateway_lat,gateway_long
Node1,70b3d5499aa0da7c,1,45.80353,15.95874,0.5392,0.1952,0.4196,-118,-9.0,7,0,9,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,8,45.80121,15.95787,0.5884,0.2883,0.3212,-127,-20.0,4,1,12,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,1,45.80177,15.95088,-0.0190,0.0710,1.0042,-126,-18.0,11,0,11,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,7,45.80177,15.95088,-0.0190,0.0710,1.0042,-126,-18.0,11,0,11,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,1,45.80177,15.95088,-0.0187,0.0753,1.0111,-124,-17.0,14,0,11,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,5,45.80177,15.9509,-0.0164,0.0717,1.0016,-125,-17.0,14,0,11,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,6,45.80177,15.9509,-0.0181,0.0703,0.9993,-124,-16.0,14,0,11,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,9,45.80177,15.95089,-0.0179,0.0720,0.9995,-123,-16.0,14,0,11,"4
",45.805630,15.957969
Node2,70b3d5499616b59e,0,45.80407,15.95409,-0.1313,0.2034,0.7920,-110,-8.0,11,1,8,"2
",45.805630,15.957969
Node2,70b3d5499616b59e,1,45.80406,15.95459,-0.2001,-0.1626,1.3073,-105,-1.0,11,1,8,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,3,45.80406,15.9545,-0.1450,0.6819,-0.2488,-103,0.0,11,1,8,"2
",45.805630,15.957969
Node2,70b3d5499616b59e,5,45.8041,15.95484,-0.1892,-0.1138,1.2910,-103,-1.0,11,1,8,"2
",45.805630,15.957969
Node2,70b3d5499616b59e,7,45.8041,15.95487,-0.2322,0.1027,1.2377,-109,-4.0,11,1,8,"2
",45.805630,15.957969
Node2,70b3d5499616b59e,9,45.80411,15.95488,-0.1072,0.0391,0.9379,-112,-7.0,11,1,8,"2
",45.805630,15.957969
Node2,70b3d5499616b59e,3,45.80421,15.9554,-0.3519,0.0470,1.0216,-95,2.0,10,0,11,"4
",45.805630,15.957969
Node2,70b3d5499616b59e,4,45.80423,15.95542,-0.3615,-0.0065,1.3182,-91,3.0,10,0,11,"4
",45.805630,15.957969
Node2,70b3d5499616b59e,5,45.80455,15.95609,-0.2784,-0.1331,0.8989,-92,6.0,6,1,8,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,5,45.80455,15.95611,-0.0255,0.9431,-0.2733,-97,6.0,6,1,8,"4
",45.805630,15.957969
Node2,70b3d5499616b59e,6,45.80464,15.95617,0.0046,-0.0996,0.7341,-96,6.0,6,1,8,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,6,45.80457,15.95613,-0.3551,1.4961,0.3894,-99,4.0,6,1,8,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,9,45.80457,15.95617,0.0035,0.9633,-0.2578,-99,4.0,6,1,8,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,0,45.80467,15.95653,0.0593,1.0999,-0.2855,-77,6.0,9,0,11,"1
",45.805630,15.957969
Node1,70b3d5499aa0da7c,2,45.80469,15.95655,0.0699,0.9136,-0.2932,-87,8.0,9,0,11,"1
",45.805630,15.957969
Node2,70b3d5499616b59e,0,45.80507,15.95695,-0.7034,0.0830,1.1058,-78,7.0,13,1,8,"2
",45.805630,15.957969
Node2,70b3d5499616b59e,1,45.80532,15.95707,-1.2201,-0.3126,0.5776,-78,7.0,13,1,8,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,1,45.80516,15.95695,-0.3998,1.5629,0.1686,-71,7.0,13,1,8,"2
",45.805630,15.957969
Node2,70b3d5499616b59e,3,45.80534,15.95707,-0.3756,-1.3896,0.3840,-67,8.0,13,1,8,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,3,45.80517,15.95694,-0.2906,0.9038,-0.2125,-81,7.0,13,1,8,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,4,45.80518,15.95694,-0.3395,1.4838,0.2628,-70,7.0,13,1,8,"2
",45.805630,15.957969
Node2,70b3d5499616b59e,5,45.80535,15.95707,-0.9069,-0.8213,-0.0676,-63,7.0,13,1,8,"2
",45.805630,15.957969
Node2,70b3d5499616b59e,7,45.80542,15.95705,-0.1456,-0.3677,-0.1051,-62,7.0,13,1,8,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,7,45.80519,15.95692,-0.1281,0.9303,-0.0751,-61,8.0,13,1,8,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,8,45.80526,15.95705,-0.3237,1.4312,-0.3334,-61,7.0,13,1,8,"2
",45.805630,15.957969
Node1,70b3d5499aa0da7c,1,45.80541,15.95711,-0.5076,0.2704,-0.0732,-58,6.0,6,0,11,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,4,45.8054,15.95711,-0.6093,0.7456,-0.1560,-54,8.0,6,0,11,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,5,45.80547,15.95703,-0.6401,0.7715,-0.1531,-57,9.0,6,0,11,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,7,45.80547,15.95703,-0.6389,0.7770,-0.1559,-54,7.0,6,0,11,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,9,45.80548,15.95702,-0.6146,0.8051,-0.1515,-62,9.0,6,0,11,"4
",45.805630,15.957969
Node1,70b3d5499aa0da7c,0,45.80562,15.95707,-0.0842,0.9628,-0.3319,-87,7.0,6,1,8,"4
",45.805630,15.957969
